source_center,destination_center,trip_count,median_factor,mean_factor,p75_factor,p90_factor,sla_breach_rate,median_actual_time,median_osrm_time,median_distance,route_types
IND721401AAA,IND721306AAA,2,1.7613636363636362,1.8768452742909265,2.073478260869565,2.2371237458193978,1.0,44.5,22.5,25.14405,['FTL']
IND721434AAB,IND721401AAA,2,2.488095238095238,2.4613095238095237,2.7232142857142856,2.867857142857143,1.0,61.5,24.5,24.84935,['FTL']
IND721501AAC,IND721253AAC,6,1.8376623376623373,1.9180401864566496,1.9903846153846154,2.2617383512544804,0.9444444444444444,62.0,33.5,36.44845,['FTL']
IND721501AAC,IND721306AAA,1,1.7919254658385093,2.1552219921785136,2.2355072463768115,2.894202898550725,1.0,44.5,25.0,28.1948,['FTL']
IND721602AAB,IND721139AAC,4,1.4761904761904765,1.5316324323450385,1.7032967032967032,2.0,0.782608695652174,22.0,13.0,10.7889,['Carting']
IND721636AAB,IND721602AAB,3,1.3206521739130435,1.2253721027117104,1.7142857142857142,1.8999999999999997,0.625,14.5,13.0,10.8425,['Carting']
IND722101AAA,IND722122AAA,8,1.8571428571428568,2.0991071428571426,2.0,2.235,1.0,11.5,6.0,9.8422,['Carting']
IND722101AAB,IND713205AAB,1,1.375,1.5009740259740258,1.6666666666666667,1.7809523809523808,1.0,12.0,9.0,9.7596,['Carting']
IND722122AAA,IND713205AAB,8,1.746031746031746,1.920208482963501,2.1538461538461537,3.01764705882353,0.9375,17.5,10.5,12.52245,['Carting']
IND722140AAA,IND722151AAA,9,0.9880952380952381,2.081816168327796,1.1369047619047619,2.317142857142853,0.2,40.5,42.0,45.702,['FTL']
IND722140AAA,IND723130AAA,1,11.6,11.6,11.6,11.6,1.0,1320.0,69.0,77.2476,['FTL']
IND722143AAB,IND723133AAA,10,1.5238095238095235,1.52379253319507,1.6579545454545455,2.006666666666667,0.8,36.0,25.5,22.7391,['FTL']
IND722151AAA,IND723130AAA,8,11.6,8.52405718402286,11.6,11.6,1.0,986.5,69.5,88.7619,['FTL']
IND722154AAA,IND712311AAA,1,3.692307692307693,3.940128836680561,5.053050397877985,5.86949602122016,1.0,48.0,14.0,15.7633,['FTL']
IND722154AAA,IND712602AAA,1,3.0,3.0,3.5,3.8,1.0,29.0,14.0,15.55685,['FTL']
IND722202AAA,IND713205AAB,1,2.375,2.375,2.5625,2.675,1.0,23.0,8.5,10.0865,['Carting']
IND722202AAA,IND722101AAC,4,1.5,1.4821123321123322,1.6,1.8,0.9230769230769231,12.0,9.0,10.2913,['Carting']
IND723101AAA,IND723202AAA,14,1.7142857142857142,1.990043962305258,2.0890151515151514,3.028985507246378,1.0,39.0,22.0,24.3809,['FTL']
IND723130AAA,IND723101AAA,15,1.8235294117647056,3.6522984749455336,2.700980392156863,9.625000000000002,0.9666666666666667,28.5,11.0,15.703000000000001,['FTL']
IND723130AAA,IND723131AAA,6,1.0,2.218608852755194,1.28,3.520000000000002,0.3333333333333333,37.0,41.0,28.1259,['FTL']
IND723131AAA,IND722140AAA,12,1.3331653225806452,1.3971203975236233,1.4274193548387097,1.7709677419354837,0.8333333333333334,42.0,31.0,33.69365,['FTL']
IND723133AAA,IND723130AAA,13,1.2779922779922779,2.0008561381916645,1.6277641277641275,4.072499999999998,0.5416666666666666,40.5,37.0,24.909350000000003,['FTL']
IND723202AAA,IND713205AAB,14,1.7647058823529411,2.3688578261451023,2.6666666666666665,3.7671428571428573,0.9381443298969072,34.0,21.0,24.7858,['FTL']
IND731204AAB,IND731301AAA,13,2.4285714285714284,2.297245831091985,2.65,2.7333333333333334,1.0,51.0,21.0,19.0581,['FTL']
IND731224AAA,IND742147AAA,11,2.1818181818181817,2.9460149970845158,2.75,5.333333333333335,1.0,23.0,11.0,10.734,['Carting']
IND731237AAB,IND731224AAA,15,3.333333333333333,3.50855619688953,4.0,5.32857142857143,1.0,16.0,7.0,10.9308,['Carting']
IND731301AAA,IND713205AAB,19,1.75,1.9615167546218677,2.0,2.411290322580646,1.0,52.0,28.0,29.7212,['FTL']
IND732103AAA,IND732138AAA,2,3.34,3.40951048951049,4.481818181818182,4.62909090909091,1.0,54.5,18.0,20.2359,['FTL']
IND732103AAB,IND732123AAC,1,1.8,3.2800396825396825,3.4285714285714284,6.958928571428572,0.8,31.0,16.0,13.375,['Carting']
IND732103AAB,IND732202AAA,8,3.25,5.289484126984127,7.25,11.6,1.0,24.5,6.0,9.80705,['Carting']
